gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
2;2;2;186;19,655451;2;-0,332106;0,054932;0,233916;0,073875;0,115847;0,200272;39;2;163;24,840981;4;-0,177926;-0,512748;-0,695405;-0,103592;-0,259094;-0,03231;36
1,5;1;3;188;20,937075;4;-0,741707;0,311473;0,790552;0,745456;-0,132105;0,117041;26;3;174;20,808561;4;-0,207068;0,879644;0,513164;0,467712;0,121873;-1,426174;23
2;2;2;186;21,678806;3;0,346999;-0,767815;0,477702;-0,266043;0,264609;0,632298;31;2;180;21,604939;3;-0,607683;0,216566;0,337147;0,121642;0,512561;-0,07043;29
2;2;2;179;21,534908;4;-0,886173;1,163238;-0,580517;-0,225684;-0,203496;0,380502;27;2;178;24,93372;4;-0,731264;-1,327296;0,782617;-0,629518;-0,286893;0,51925;27
3;3;1;172;18,929152;3;-1,029182;0,215583;-0,191962;-0,064641;0,645576;0,593702;40;1;172;18,929152;3;-0,473659;-0,086866;-0,40636;-0,500497;-0,27484;0,092336;35
2;2;2;172;24,675501;4;-0,496;-0,74847;0,997016;-0,077734;0,915301;0,097396;40;2;175;20,571428;4;0,212975;0,320163;-0,398425;-0,26107;-0,092253;-0,006249;39
;1;2;205;23,081499;3;-0,990327;0,045259;-0,283537;-0,682516;-0,374031;0,268643;28;3;172;20,957273;3;-1,277802;0,064604;0,235776;-0,547469;-0,69566;0,29918;26
2;1;2;182;23,245985;3;-0,18764;0,349181;-1,032627;0,105158;-0,052401;0,592356;36;2;175;20,571428;4;-0,60914;0,471633;-0,562786;-0,604823;-0,253068;0,271669;26
1;1;3;188;23,766411;3;-0,907057;-0,114901;0,105018;0,013796;-0,076507;0,147742;38;2;163;24,088223;4;-1,277802;0,065587;1,258533;0,848285;0,296148;0,142063;32
2;3;2;180;25,308641;3;-0,741707;-1,195172;0,06162;-0,542104;0,082021;0,577181;36;2;175;22,204082;3;-0,178655;0,18853;-0,537119;-0,339131;-0,473221;0,332804;35
2;2;2;170;20,761246;3;-0,209253;-0,494877;0,37447;0,250826;-0,132105;0,009908;29;2;164;20,449137;3;-0,34182;0,310981;-0,443684;-0,374054;0,143646;-0,019186;28
1;1;3;180;23,148148;3;-0,762591;-0,768798;0,770961;-0,031379;0,673375;0,347465;36;3;172;20,619253;3;0,346999;-0,502584;-0,529184;0,350563;-0,937585;-0,066294;37
2;2;2;174;21,138855;4;-0,053616;-0,229645;-1,08396;-0,347856;-0,40183;0,152934;34;2;168;21,967121;4;-0,064787;0,178857;-0,806572;-0,445839;-0,628009;-0,117906;35
1,5;1,5;2;182;21,736506;3;0,366426;0,065587;-0,771109;0,581906;-1,489087;0,137532;34;3;165;25,711662;3;0,078951;-0,238336;-0,251796;0,449625;-0,628009;0,216251;36
2;2;2;178;23,355637;2;-0,752877;0,189021;-0,683748;-0,185193;-0,628009;0,011577;34;2;169;16,456007;3;-1,020925;0,188039;0,321277;-0,187523;0,822137;0,302649;30
2;1;1;182;22,642193;4;0,498265;-0,238336;-0,527323;0,787151;-0,721173;-0,01928;28;2;158;26,037495;4;-0,475116;0,065587;0,981145;0,468706;0,351746;0,278486;28
2;2;2;184;25,697069;3;0,366426;0,046241;-0,283537;0,585739;-0,064454;0,294251;42;2;165;22,773186;3;-0,209253;0,623594;-0,146704;0,104947;0,155699;0,449403;40
1,5;1;3;180;24,382715;4;-0,209981;0,046241;1,016607;0,984325;0,673375;0,760148;42;2;160;19,140625;4;0,901065;1,163238;1,016607;0,745811;0,109821;0,185544;40
2;2;2;185;24,251278;3;0,06098;-0,502584;0,981145;0,703104;0,605725;0,722601;45;2;167;24,382374;3;-0,472202;-0,218007;1,258533;0,68814;0,605725;-1,758804;32
1;1;2;183;22,096807;4;1,169113;0,879644;0,513164;0,628495;-0,187703;0,313543;30;3;183;21,798203;4;0,634474;0,349181;1,258533;0,867009;0,407344;0,05236;32
3,5;2;2;187;25,165146;2;0,058066;0,879644;1,258533;-1,089839;0,097768;0,28527;39;2;180;21,604939;3;0,633017;-0,768798;0,513164;-0,048921;-0,132105;0,164647;36
2;2;2;184;25,992439;2;-1,810984;-1,034029;1,012886;0,712696;0,351746;0,065991;33;2;162;22,481329;4;0,06098;0,615395;0,497294;-0,073073;-0,386083;0,270549;33
2;1;2;182;22,642193;4;0,901065;-0,786178;1,016607;0,727771;0,982952;0,245889;42;2;168;19,486961;4;0,61359;-0,625527;-0,790701;0,066537;-0,120052;0,216251;40
